x,y,magnitude
0,0,1.62E-10
0,1,9.45E-11
0,2,1.45E-10
0,3,3.42E-10
0,4,2.98E-11
0,5,1.51E-10
0,6,4.01E-10
0,7,3.63E-10
0,8,3.50E-10
0,9,3.68E-10
0,10,3.62E-10
0,11,3.06E-10
0,12,2.69E-10
0,13,2.38E-10
0,14,4.75E-10
0,15,4.90E-10
0,16,2.25E-10
0,17,2.46E-10
0,18,2.84E-10
0,19,1.35E-10
0,20,2.34E-10
0,21,4.73E-10
0,22,7.93E-10
0,23,4.69E-10
0,24,5.08E-12
0,25,2.48E-10
0,26,2.47E-10
0,27,3.95E-10
0,28,2.40E-10
0,29,2.59E-11
0,30,3.58E-10
0,31,2.33E-10
0,32,2.53E-10
0,33,4.89E-10
0,34,2.38E-10
0,35,8.08E-11
0,36,1.02E-10
0,37,2.33E-10
0,38,7.85E-11
0,39,1.17E-10
0,40,1.46E-10
0,41,6.76E-11
0,42,2.63E-10
0,43,1.19E-10
0,44,2.07E-10
0,45,2.70E-10
0,46,1.79E-10
0,47,1.21E-10
0,48,1.36E-10
0,49,3.44E-10
0,50,2.64E-10
0,51,1.59E-10
0,52,1.81E-10
0,53,1.27E-10
0,54,2.24E-11
0,55,3.04E-10
0,56,6.42E-11
0,57,2.07E-10
0,58,8.05E-11
0,59,9.39E-11
0,60,3.09E-10
0,61,1.32E-10
0,62,1.19E-10
0,63,8.76E-11
0,64,6.36E-11
0,65,2.43E-10
0,66,1.49E-10
0,67,9.50E-11
0,68,2.26E-10
0,69,1.75E-10
0,70,3.64E-11
0,71,1.04E-10
0,72,1.33E-10
0,73,3.74E-10
0,74,6.70E-11
0,75,1.95E-10
0,76,1.37E-10
0,77,2.74E-10
0,78,1.16E-10
0,79,5.24E-10
0,80,3.20E-10
0,81,2.10E-10
0,82,1.63E-10
0,83,1.20E-10
0,84,6.59E-11
0,85,1.64E-10
0,86,4.96E-10
0,87,7.10E-10
0,88,2.61E-10
0,89,8.98E-11
0,90,2.34E-10
0,91,2.87E-10
0,92,4.76E-11
0,93,2.19E-10
0,94,2.81E-10
0,95,1.33E-10
0,96,1.45E-10
0,97,2.03E-10
0,98,5.59E-10
0,99,1.22E-10
0,100,1.37E-10
0,101,1.80E-10
0,102,2.39E-10
0,103,1.70E-10
0,104,7.18E-11
0,105,1.24E-10
0,106,2.68E-10
0,107,5.25E-11
0,108,1.17E-10
0,109,2.46E-10
0,110,2.33E-10
0,111,1.27E-10
0,112,1.80E-10
0,113,1.30E-10
0,114,3.63E-10
0,115,2.05E-10
0,116,1.42E-10
0,117,1.99E-10
0,118,2.22E-10
0,119,1.90E-10
0,120,1.22E-10
0,121,9.15E-11
0,122,1.32E-10
0,123,2.32E-10
0,124,7.99E-11
0,125,1.68E-10
0,126,8.29E-11
0,127,2.60E-10
1,0,1.53E-10
1,1,1.85E-10
1,2,1.63E-10
1,3,3.22E-10
1,4,1.25E-10
1,5,1.86E-10
1,6,3.14E-10
1,7,3.57E-10
1,8,2.38E-10
1,9,4.86E-10
1,10,4.67E-10
1,11,1.59E-10
1,12,1.16E-10
1,13,4.72E-10
1,14,9.66E-12
1,15,2.34E-10
1,16,2.53E-10
1,17,2.47E-10
1,18,1.40E-11
1,19,2.83E-10
1,20,2.35E-10
1,21,1.27E-10
1,22,6.03E-10
1,23,2.76E-10
1,24,1.73E-10
1,25,4.67E-10
1,26,9.43E-10
1,27,1.84E-10
1,28,2.52E-10
1,29,1.66E-10
1,30,1.45E-10
1,31,4.76E-10
1,32,4.78E-10
1,33,3.09E-10
1,34,4.74E-10
1,35,4.69E-10
1,36,4.66E-10
1,37,2.34E-10
1,38,6.74E-11
1,39,2.34E-10
1,40,8.52E-11
1,41,8.45E-11
1,42,3.22E-10
1,43,1.19E-10
1,44,2.14E-10
1,45,2.47E-10
1,46,2.18E-10
1,47,1.35E-10
1,48,8.93E-11
1,49,3.32E-10
1,50,2.41E-10
1,51,1.85E-10
1,52,1.93E-10
1,53,1.59E-10
1,54,6.06E-11
1,55,3.52E-10
1,56,6.38E-11
1,57,1.48E-10
1,58,9.41E-11
1,59,1.81E-10
1,60,3.47E-10
1,61,7.77E-11
1,62,9.30E-11
1,63,1.07E-10
1,64,4.45E-11
1,65,2.47E-10
1,66,1.18E-10
1,67,4.24E-11
1,68,2.06E-10
1,69,1.54E-10
1,70,5.29E-11
1,71,7.21E-11
1,72,1.58E-10
1,73,3.09E-10
1,74,7.34E-11
1,75,1.63E-10
1,76,7.70E-11
1,77,1.79E-10
1,78,8.25E-11
1,79,5.25E-10
1,80,5.31E-10
1,81,3.51E-10
1,82,1.75E-10
1,83,2.57E-10
1,84,1.90E-10
1,85,2.34E-10
1,86,1.26E-10
1,87,2.87E-10
1,88,2.33E-10
1,89,1.12E-10
1,90,3.17E-11
1,91,2.67E-10
1,92,2.33E-10
1,93,5.55E-10
1,94,4.94E-10
1,95,7.01E-10
1,96,1.98E-10
1,97,1.31E-10
1,98,1.18E-10
1,99,1.31E-10
1,100,2.36E-10
1,101,1.71E-10
1,102,2.61E-10
1,103,1.79E-11
1,104,4.72E-10
1,105,1.50E-10
1,106,2.55E-10
1,107,8.80E-11
1,108,1.53E-10
1,109,1.82E-10
1,110,2.37E-10
1,111,2.46E-10
1,112,2.04E-10
1,113,1.21E-10
1,114,3.23E-10
1,115,2.11E-10
1,116,1.74E-10
1,117,2.10E-10
1,118,2.44E-10
1,119,1.92E-10
1,120,1.13E-10
1,121,8.42E-11
1,122,1.41E-10
1,123,2.43E-10
1,124,6.85E-11
1,125,1.63E-10
1,126,1.10E-10
1,127,2.81E-10
2,0,1.50E-10
2,1,1.16E-10
2,2,1.86E-10
2,3,3.45E-10
2,4,3.12E-10
2,5,2.13E-10
2,6,4.91E-10
2,7,3.96E-10
2,8,1.03E-10
2,9,4.88E-10
2,10,5.93E-11
2,11,1.99E-10
2,12,5.31E-11
2,13,7.96E-11
2,14,2.66E-10
2,15,2.34E-10
2,16,5.49E-10
2,17,2.59E-10
2,18,2.48E-10
2,19,1.15E-10
2,20,2.95E-11
2,21,4.66E-10
2,22,6.68E-10
2,23,1.60E-10
2,24,7.81E-10
2,25,4.67E-10
2,26,1.48E-10
2,27,2.81E-10
2,28,1.98E-10
2,29,2.33E-10
2,30,2.60E-10
2,31,3.91E-10
2,32,4.74E-10
2,33,4.72E-10
2,34,2.42E-10
2,35,1.58E-10
2,36,2.49E-10
2,37,2.33E-10
2,38,1.92E-10
2,39,7.57E-11
2,40,1.05E-10
2,41,1.05E-10
2,42,3.21E-10
2,43,8.83E-11
2,44,2.55E-10
2,45,2.78E-10
2,46,2.60E-10
2,47,1.37E-10
2,48,7.01E-11
2,49,3.34E-10
2,50,1.98E-10
2,51,2.14E-10
2,52,1.98E-10
2,53,1.78E-10
2,54,7.30E-11
2,55,3.86E-10
2,56,6.30E-11
2,57,1.16E-10
2,58,9.37E-11
2,59,2.22E-10
2,60,3.43E-10
2,61,6.04E-11
2,62,4.95E-11
2,63,1.03E-10
2,64,2.92E-11
2,65,2.32E-10
2,66,1.08E-10
2,67,4.28E-11
2,68,1.96E-10
2,69,1.20E-10
2,70,8.22E-11
2,71,3.39E-11
2,72,2.04E-10
2,73,2.59E-10
2,74,9.40E-11
2,75,1.75E-10
2,76,9.33E-11
2,77,1.60E-10
2,78,9.54E-11
2,79,5.25E-10
2,80,4.73E-10
2,81,2.66E-10
2,82,7.48E-11
2,83,1.42E-10
2,84,2.78E-11
2,85,1.10E-10
2,86,2.57E-10
2,87,7.37E-10
2,88,8.26E-12
2,89,2.64E-10
2,90,2.41E-10
2,91,2.33E-10
2,92,4.66E-10
2,93,1.43E-10
2,94,4.79E-10
2,95,3.63E-10
2,96,4.70E-10
2,97,2.42E-10
2,98,5.50E-10
2,99,3.53E-10
2,100,3.80E-11
2,101,1.75E-10
2,102,2.66E-10
2,103,2.08E-10
2,104,5.72E-11
2,105,1.42E-10
2,106,1.88E-10
2,107,1.81E-10
2,108,2.58E-11
2,109,8.09E-11
2,110,3.52E-10
2,111,2.36E-10
2,112,2.36E-10
2,113,1.26E-10
2,114,3.25E-10
2,115,2.09E-10
2,116,1.36E-10
2,117,2.18E-10
2,118,2.41E-10
2,119,1.78E-10
2,120,1.11E-10
2,121,8.10E-11
2,122,1.67E-10
2,123,2.36E-10
2,124,3.09E-11
2,125,1.86E-10
2,126,1.55E-10
2,127,2.88E-10
3,0,1.30E-10
3,1,1.83E-10
3,2,1.22E-10
3,3,2.99E-10
3,4,1.57E-10
3,5,2.20E-10
3,6,4.27E-10
3,7,2.68E-10
3,8,3.08E-10
3,9,4.91E-10
3,10,1.59E-10
3,11,1.69E-10
3,12,9.71E-11
3,13,5.31E-10
3,14,3.95E-11
3,15,2.37E-10
3,16,5.31E-10
3,17,2.32E-10
3,18,4.89E-10
3,19,1.04E-10
3,20,6.14E-11
3,21,1.37E-11
3,22,4.98E-10
3,23,2.36E-10
3,24,3.62E-10
3,25,2.34E-10
3,26,1.17E-09
3,27,4.12E-10
3,28,2.94E-10
3,29,2.72E-10
3,30,1.62E-10
3,31,2.46E-10
3,32,2.93E-10
3,33,4.84E-10
3,34,2.47E-10
3,35,4.69E-10
3,36,2.45E-10
3,37,2.35E-10
3,38,5.47E-11
3,39,2.40E-10
3,40,1.27E-10
3,41,1.48E-10
3,42,2.08E-10
3,43,1.85E-10
3,44,1.82E-10
3,45,2.03E-10
3,46,2.19E-10
3,47,1.32E-10
3,48,8.14E-11
3,49,3.61E-10
3,50,1.35E-10
3,51,2.67E-10
3,52,2.36E-10
3,53,2.19E-10
3,54,9.14E-11
3,55,4.34E-10
3,56,9.60E-11
3,57,6.02E-11
3,58,5.28E-11
3,59,2.84E-10
3,60,3.77E-10
3,61,5.71E-12
3,62,6.27E-11
3,63,1.31E-10
3,64,8.43E-11
3,65,1.50E-10
3,66,9.26E-11
3,67,5.22E-11
3,68,1.59E-10
3,69,1.46E-10
3,70,7.88E-11
3,71,6.10E-11
3,72,2.23E-10
3,73,2.11E-10
3,74,8.59E-11
3,75,1.78E-10
3,76,1.45E-10
3,77,5.10E-11
3,78,1.78E-10
3,79,5.25E-10
3,80,5.29E-10
3,81,4.15E-10
3,82,7.49E-11
3,83,1.87E-10
3,84,1.30E-10
3,85,2.33E-10
3,86,1.95E-10
3,87,3.59E-10
3,88,4.70E-10
3,89,7.89E-11
3,90,4.80E-10
3,91,1.14E-10
3,92,2.43E-10
3,93,2.45E-10
3,94,4.81E-10
3,95,4.96E-10
3,96,1.98E-10
3,97,4.70E-10
3,98,2.35E-10
3,99,1.93E-10
3,100,1.16E-10
3,101,3.83E-10
3,102,2.38E-10
3,103,2.61E-10
3,104,1.59E-10
3,105,1.50E-10
3,106,2.33E-10
3,107,6.76E-11
3,108,1.76E-10
3,109,1.36E-10
3,110,2.35E-10
3,111,1.63E-10
3,112,2.71E-10
3,113,1.44E-10
3,114,2.32E-10
3,115,2.00E-10
3,116,1.35E-10
3,117,1.77E-10
3,118,1.97E-10
3,119,1.94E-10
3,120,9.34E-11
3,121,9.26E-11
3,122,1.63E-10
3,123,2.30E-10
3,124,8.02E-12
3,125,2.08E-10
3,126,2.08E-10
3,127,2.72E-10
4,0,1.28E-10
4,1,2.32E-10
4,2,1.63E-10
4,3,2.47E-10
4,4,2.37E-10
4,5,1.43E-10
4,6,4.06E-10
4,7,2.50E-10
4,8,3.60E-10
4,9,3.66E-10
4,10,1.76E-10
4,11,4.14E-10
4,12,3.92E-10
4,13,1.36E-10
4,14,1.45E-11
4,15,7.01E-10
4,16,3.36E-10
4,17,4.94E-10
4,18,2.35E-10
4,19,2.66E-10
4,20,4.68E-10
4,21,4.79E-10
4,22,5.49E-10
4,23,4.20E-10
4,24,9.25E-10
4,25,3.58E-10
4,26,2.88E-10
4,27,3.38E-10
4,28,5.17E-10
4,29,2.83E-10
4,30,2.70E-10
4,31,3.07E-10
4,32,1.06E-10
4,33,4.66E-10
4,34,6.99E-10
4,35,1.55E-10
4,36,1.29E-10
4,37,5.50E-11
4,38,2.63E-10
4,39,9.08E-11
4,40,9.42E-11
4,41,3.16E-10
4,42,8.57E-11
4,43,1.35E-10
4,44,1.64E-10
4,45,2.14E-10
4,46,2.55E-10
4,47,1.39E-10
4,48,1.03E-10
4,49,3.76E-10
4,50,8.85E-11
4,51,3.14E-10
4,52,2.67E-10
4,53,2.46E-10
4,54,7.61E-11
4,55,4.35E-10
4,56,1.05E-10
4,57,9.17E-11
4,58,1.19E-11
4,59,2.84E-10
4,60,3.73E-10
4,61,2.07E-11
4,62,6.12E-11
4,63,1.48E-10
4,64,9.87E-11
4,65,1.19E-10
4,66,9.35E-11
4,67,5.83E-11
4,68,1.37E-10
4,69,1.23E-10
4,70,8.35E-11
4,71,5.36E-11
4,72,2.56E-10
4,73,1.98E-10
4,74,9.42E-11
4,75,1.63E-10
4,76,1.36E-10
4,77,1.14E-10
4,78,4.63E-11
4,79,3.56E-10
4,80,4.67E-10
4,81,5.99E-11
4,82,2.01E-10
4,83,1.82E-10
4,84,2.55E-10
4,85,2.17E-10
4,86,2.03E-10
4,87,2.93E-10
4,88,4.74E-10
4,89,1.83E-10
4,90,4.73E-10
4,91,3.53E-10
4,92,7.67E-11
4,93,2.57E-10
4,94,5.16E-10
4,95,4.66E-10
4,96,1.46E-10
4,97,3.62E-10
4,98,3.75E-10
4,99,2.34E-10
4,100,7.98E-11
4,101,1.67E-10
4,102,3.74E-10
4,103,3.45E-10
4,104,2.51E-10
4,105,2.54E-10
4,106,2.34E-10
4,107,1.46E-10
4,108,2.12E-11
4,109,2.38E-10
4,110,1.27E-10
4,111,1.55E-10
4,112,1.77E-10
4,113,1.42E-10
4,114,3.57E-10
4,115,1.87E-10
4,116,4.35E-11
4,117,1.69E-10
4,118,2.11E-10
4,119,1.96E-10
4,120,1.40E-10
4,121,1.03E-10
4,122,1.85E-10
4,123,2.06E-10
4,124,1.29E-11
4,125,2.24E-10
4,126,2.58E-10
4,127,2.32E-10
5,0,1.07E-10
5,1,2.01E-10
5,2,9.86E-11
5,3,3.47E-10
5,4,2.53E-10
5,5,1.25E-10
5,6,4.16E-10
5,7,2.90E-10
5,8,1.81E-10
5,9,3.68E-10
5,10,5.82E-10
5,11,1.29E-10
5,12,1.71E-10
5,13,4.77E-10
5,14,1.17E-10
5,15,2.36E-10
5,16,3.62E-10
5,17,6.99E-10
5,18,5.38E-10
5,19,5.56E-10
5,20,2.36E-10
5,21,6.41E-10
5,22,3.82E-10
5,23,3.56E-10
5,24,4.31E-10
5,25,7.42E-10
5,26,8.15E-10
5,27,3.28E-10
5,28,2.65E-10
